id,code,name,parent_id:id,note,reconcile,type,user_type:id,currency_id:id
ECD201019000,2.01.01.90.00,(-) Contas Retificadoras,ECD20101,(-) Contas Retificadoras,FALSE,other,account.data_account_type_liability,base.BRL
ECD203,2.03,NÃO-CIRCULANTE,ECD2,NÃO-CIRCULANTE,FALSE,view,account.data_account_type_view,base.BRL
ECD20301,2.03.01,OBRIGAÇÕES A LONGO PRAZO,ECD203,OBRIGAÇÕES A LONGO PRAZO,FALSE,view,account.data_account_type_view,base.BRL
ECD203010100,2.03.01.01.00,Fornecedores Não Circulante,ECD20301,Fornecedores Não Circulante,TRUE,payable,account.data_account_type_payable,base.BRL
ECD203010200,2.03.01.02.00,Financiamentos a Longo Prazo - Sistema Financeiro Nacional,ECD20301,Financiamentos a Longo Prazo - Sistema Financeiro Nacional,FALSE,other,account.data_account_type_liability,base.BRL
ECD203010202,2.03.01.02.02,Arrendamento Mercantil (Financeiro) a Longo Prazo - Sistema Financeiro Nacional,ECD20301,Arrendamento Mercantil (Financeiro) a Longo Prazo - Sistema Financeiro Nacional,FALSE,other,account.data_account_type_liability,base.BRL
ECD203010203,2.03.01.02.03,Financiamentos a Longo Prazo - Brasil - Outros,ECD20301,Financiamentos a Longo Prazo - Brasil - Outros,FALSE,other,account.data_account_type_liability,base.BRL
ECD203010204,2.03.01.02.04,Financiamentos a Longo Prazo - Exterior,ECD20301,Financiamentos a Longo Prazo - Exterior,FALSE,other,account.data_account_type_liability,base.BRL
ECD203010205,2.03.01.02.05,Arrendamento Mercantil (Financeiro) a Longo Prazo - Exterior,ECD20301,Arrendamento Mercantil (Financeiro) a Longo Prazo - Exterior,FALSE,other,account.data_account_type_liability,base.BRL
ECD203010300,2.03.01.03.00,Empréstimos de Sócios/Acionistas Não Administradores,ECD20301,Empréstimos de Sócios/Acionistas Não Administradores,FALSE,other,account.data_account_type_liability,base.BRL
ECD203010400,2.03.01.04.00,Créditos de Pessoas Ligadas (Físicas/Jurídicas),ECD20301,Créditos de Pessoas Ligadas (Físicas/Jurídicas),FALSE,other,account.data_account_type_liability,base.BRL
ECD203010500,2.03.01.05.00,Provisão para o Imposto de Renda sobre Lucros Diferidos,ECD20301,Provisão para o Imposto de Renda sobre Lucros Diferidos,FALSE,other,account.data_account_type_liability,base.BRL
ECD203010600,2.03.01.06.00,Débitos Fiscais CSLL - Diferenças Temporárias,ECD20301,Débitos Fiscais CSLL - Diferenças Temporárias,FALSE,other,account.data_account_type_liability,base.BRL
ECD203010700,2.03.01.07.00,Débitos Fiscais IRPJ - Diferenças Temporárias,ECD20301,Débitos Fiscais IRPJ - Diferenças Temporárias,FALSE,other,account.data_account_type_liability,base.BRL
ECD203010710,2.03.01.07.10,Outras Provisões de Natureza Fiscal,ECD20301,Outras Provisões de Natureza Fiscal,FALSE,other,account.data_account_type_liability,base.BRL
ECD203010720,2.03.01.07.20,Outras Provisões de Natureza Trabalhista,ECD20301,Outras Provisões de Natureza Trabalhista,FALSE,other,account.data_account_type_liability,base.BRL
ECD203010730,2.03.01.07.30,Outras Provisões de Natureza Cível,ECD20301,Outras Provisões de Natureza Cível,FALSE,other,account.data_account_type_liability,base.BRL
ECD203010740,2.03.01.07.40,Doações e Subvenções para Investimentos,ECD20301,Doações e Subvenções para Investimentos,FALSE,other,account.data_account_type_liability,base.BRL
ECD203010800,2.03.01.08.00,Outras Contas,ECD20301,Outras Contas,FALSE,other,account.data_account_type_liability,base.BRL
ECD203019000,2.03.01.90.00,(-) Contas Retificadoras,ECD20301,(-) Contas Retificadoras,FALSE,other,account.data_account_type_liability,base.BRL
ECD20303,2.03.03,RECEITAS DIFERIDAS,ECD203,RECEITAS DIFERIDAS,FALSE,view,account.data_account_type_view,base.BRL
ECD203030100,2.03.03.01.00,Receitas Diferidas,ECD20303,Receitas Diferidas,FALSE,other,account.data_account_type_liability,base.BRL
ECD203030300,2.03.03.03.00,(-) Custos Correspondentes às Receitas Diferidas,ECD20303,(-) Custos Correspondentes às Receitas Diferidas,FALSE,other,account.data_account_type_liability,base.BRL
ECD207,2.07,PATRIMÔNIO LÍQUIDO,ECD2,PATRIMÔNIO LÍQUIDO,FALSE,view,account.data_account_type_view,base.BRL
ECD20701,2.07.01,CAPITAL REALIZADO,ECD207,CAPITAL REALIZADO,FALSE,view,account.data_account_type_view,base.BRL
ECD207010100,2.07.01.01.00,Capital Subscrito de Domiciliados e Residentes no País,ECD20701,Capital Subscrito de Domiciliados e Residentes no País,FALSE,other,account.data_account_type_liability,base.BRL
ECD207010200,2.07.01.02.00,(-) Capital a Integralizar de Domiciliados e Residentes no País,ECD20701,(-) Capital a Integralizar de Domiciliados e Residentes no País,FALSE,other,account.data_account_type_liability,base.BRL
ECD207010300,2.07.01.03.00,Capital Subscrito de Domiciliados e Residentes no Exterior,ECD20701,Capital Subscrito de Domiciliados e Residentes no Exterior,FALSE,other,account.data_account_type_liability,base.BRL
ECD207010400,2.07.01.04.00,(-) Capital a Integralizar de Domiciliados e Residentes no Exterior,ECD20701,(-) Capital a Integralizar de Domiciliados e Residentes no Exterior,FALSE,other,account.data_account_type_liability,base.BRL
ECD20704,2.07.04,RESERVAS,ECD207,RESERVAS,FALSE,view,account.data_account_type_view,base.BRL
ECD207040100,2.07.04.01.00,Reservas de Capital,ECD20704,Reservas de Capital,FALSE,other,account.data_account_type_liability,base.BRL
ECD207040200,2.07.04.02.00,Reservas de Reavaliação,ECD20704,Reservas de Reavaliação,FALSE,other,account.data_account_type_liability,base.BRL
ECD207040300,2.07.04.03.00,Reservas de Lucros,ECD20704,Reservas de Lucros,FALSE,other,account.data_account_type_liability,base.BRL
ECD207040301,2.07.04.03.01,Reservas de Lucros - Doações e Subvenções para Investimentos,ECD20704,Reservas de Lucros - Doações e Subvenções para Investimentos,FALSE,other,account.data_account_type_liability,base.BRL
ECD207040302,2.07.04.03.02,Reservas de Lucros - Prêmio na Emissão de Debêntures,ECD20704,Reservas de Lucros - Prêmio na Emissão de Debêntures,FALSE,other,account.data_account_type_liability,base.BRL
ECD207040400,2.07.04.04.00,"Reserva para Aumento de Capital (Lei no 9.249/1995, art. 9o, § 9o)",ECD20704,"Reserva para Aumento de Capital (Lei no 9.249/1995, art. 9o, § 9o)",FALSE,other,account.data_account_type_liability,base.BRL
ECD207040500,2.07.04.05.00,Outras Reservas,ECD20704,Outras Reservas,FALSE,other,account.data_account_type_liability,base.BRL
ECD20705,2.07.05,AJUSTES DE AVALIAÇÃO PATRIMONIAL,ECD207,AJUSTES DE AVALIAÇÃO PATRIMONIAL,FALSE,view,account.data_account_type_view,base.BRL
ECD207050100,2.07.05.01.00,Ajustes às Normas Internacionais de Contabilidade,ECD20705,Ajustes às Normas Internacionais de Contabilidade,FALSE,other,account.data_account_type_liability,base.BRL
ECD207050101,2.07.05.01.01,(-) Ajustes às Normas Internacionais de Contabilidade,ECD20705,(-) Ajustes às Normas Internacionais de Contabilidade,FALSE,other,account.data_account_type_liability,base.BRL
ECD20707,2.07.07,OUTRAS CONTAS,ECD207,OUTRAS CONTAS,FALSE,view,account.data_account_type_view,base.BRL
ECD207070100,2.07.07.01.00,Lucros Acumulados e/ou Saldo à Disposição da Assembléia,ECD20707,Lucros Acumulados e/ou Saldo à Disposição da Assembléia,FALSE,other,account.data_account_type_liability,base.BRL
ECD207070200,2.07.07.02.00,(-) Prejuízos Acumulados,ECD20707,(-) Prejuízos Acumulados,FALSE,other,account.data_account_type_liability,base.BRL
ECD207070300,2.07.07.03.00,(-) Ações em Tesouraria,ECD20707,(-) Ações em Tesouraria,FALSE,other,account.data_account_type_liability,base.BRL
ECD207070400,2.07.07.04.00,Outras Contas do PL,ECD20707,Outras Contas do PL,FALSE,other,account.data_account_type_liability,base.BRL
ECD208,2.08,PATRIMÔNIO SOCIAL,ECD2,PATRIMÔNIO SOCIAL,FALSE,view,account.data_account_type_view,base.BRL
ECD20801,2.08.01,FUNDO PATRIMONIAL,ECD208,FUNDO PATRIMONIAL,FALSE,view,account.data_account_type_view,base.BRL
ECD208010100,2.08.01.01.00,Fundo Patrimonial,ECD20801,Fundo Patrimonial,FALSE,other,account.data_account_type_liability,base.BRL
ECD20804,2.08.04,RESERVAS,ECD208,RESERVAS,FALSE,view,account.data_account_type_view,base.BRL
ECD208040100,2.08.04.01.00,Reservas Patrimoniais,ECD20804,Reservas Patrimoniais,FALSE,other,account.data_account_type_liability,base.BRL
ECD208040200,2.08.04.02.00,Reservas Estatutárias,ECD20804,Reservas Estatutárias,FALSE,other,account.data_account_type_liability,base.BRL
ECD20807,2.08.07,OUTRAS CONTAS,ECD208,OUTRAS CONTAS,FALSE,view,account.data_account_type_view,base.BRL
ECD208070100,2.08.07.01.00,Superávits Acumulados,ECD20807,Superávits Acumulados,FALSE,other,account.data_account_type_liability,base.BRL
ECD208070200,2.08.07.02.00,Déficits Acumulados,ECD20807,Déficits Acumulados,FALSE,other,account.data_account_type_liability,base.BRL
ECD3,3,RESULTADO LÍQUIDO DO PERÍODO,ECD0,RESULTADO LÍQUIDO DO PERÍODO,FALSE,view,account.data_account_type_view,base.BRL
ECD301,3.01,RESULTADO LÍQUIDO DO PERÍODO ANTES DO IRPJ E DA CSLL - ATIVIDADE GERAL,ECD3,RESULTADO LÍQUIDO DO PERÍODO ANTES DO IRPJ E DA CSLL - ATIVIDADE GERAL,FALSE,view,account.data_account_type_view,base.BRL
ECD30101,3.01.01,RESULTADO OPERACIONAL,ECD301,RESULTADO OPERACIONAL,FALSE,view,account.data_account_type_view,base.BRL
ECD3010101,3.01.01.01,RECEITA LIQUIDA,ECD30101,RECEITA LIQUIDA,FALSE,view,account.data_account_type_view,base.BRL
ECD301010101,3.01.01.01.01,RECEITA BRUTA,ECD3010101,RECEITA BRUTA,FALSE,view,account.data_account_type_view,base.BRL
ECD3010101010101,3.01.01.01.01.01.01,Receita de Exportação Direta de Mercadorias e Produtos,ECD301010101,Receita de Exportação Direta de Mercadorias e Produtos,FALSE,other,account.data_account_type_income,base.BRL
ECD3010101010102,3.01.01.01.01.01.02,Receita de Vendas de Mercadorias e Produtos a Comercial Exportadora com Fim Específico de Exportação,ECD301010101,Receita de Vendas de Mercadorias e Produtos a Comercial Exportadora com Fim Específico de Exportação,FALSE,other,account.data_account_type_income,base.BRL
ECD3010101010103,3.01.01.01.01.01.03,Receita de Exportação de Serviços,ECD301010101,Receita de Exportação de Serviços,FALSE,other,account.data_account_type_income,base.BRL
ECD3010101010200,3.01.01.01.01.02.00,Receita da Venda no Mercado Interno de Produtos de Fabricação Própria,ECD301010101,Receita da Venda no Mercado Interno de Produtos de Fabricação Própria,FALSE,other,account.data_account_type_income,base.BRL
ECD3010101010300,3.01.01.01.01.03.00,Receita da Revenda de Mercadorias no Mercado Interno,ECD301010101,Receita da Revenda de Mercadorias no Mercado Interno,FALSE,other,account.data_account_type_income,base.BRL
ECD3010101010400,3.01.01.01.01.04.00,Receita da Prestação de Serviços - Mercado Interno,ECD301010101,Receita da Prestação de Serviços - Mercado Interno,FALSE,other,account.data_account_type_income,base.BRL
ECD3010101010500,3.01.01.01.01.05.00,Receita das Unidades Imobiliárias Vendidas,ECD301010101,Receita das Unidades Imobiliárias Vendidas,FALSE,other,account.data_account_type_income,base.BRL
ECD3010101010600,3.01.01.01.01.06.00,Receita de Locação de Bens Móveis e Imóveis,ECD301010101,Receita de Locação de Bens Móveis e Imóveis,FALSE,other,account.data_account_type_income,base.BRL
ECD3010101010700,3.01.01.01.01.07.00,Outras,ECD301010101,Outras,FALSE,other,account.data_account_type_income,base.BRL
ECD301010103,3.01.01.01.03,DEDUÇÕES DA RECEITA BRUTA,ECD3010101,DEDUÇÕES DA RECEITA BRUTA,FALSE,view,account.data_account_type_view,base.BRL
ECD3010101030100,3.01.01.01.03.01.00,"(-) Vendas Canceladas, Devoluções e Descontos Incondicionais",ECD301010103,"(-) Vendas Canceladas, Devoluções e Descontos Incondicionais",FALSE,other,account.data_account_type_expense,base.BRL
ECD3010101030200,3.01.01.01.03.02.00,(-) ICMS,ECD301010103,(-) ICMS,FALSE,other,account.data_account_type_expense,base.BRL
ECD3010101030300,3.01.01.01.03.03.00,(-) Cofins,ECD301010103,(-) Cofins,FALSE,other,account.data_account_type_expense,base.BRL
ECD3010101030400,3.01.01.01.03.04.00,(-) PIS/Pasep,ECD301010103,(-) PIS/Pasep,FALSE,other,account.data_account_type_expense,base.BRL
ECD3010101030500,3.01.01.01.03.05.00,(-) ISS,ECD301010103,(-) ISS,FALSE,other,account.data_account_type_expense,base.BRL
ECD3010101030600,3.01.01.01.03.06.00,(-) Demais Impostos e Contribuições Incidentes sobre Vendas e Serviços,ECD301010103,(-) Demais Impostos e Contribuições Incidentes sobre Vendas e Serviços,FALSE,other,account.data_account_type_expense,base.BRL
ECD3010103,3.01.01.03,CUSTO DOS BENS E SERVIÇOS VENDIDOS,ECD30101,CUSTO DOS BENS E SERVIÇOS VENDIDOS,FALSE,view,account.data_account_type_view,base.BRL
ECD301010301,3.01.01.03.01,CUSTO DOS PRODUTOS DE FABRICAÇÃO PRÓPRIA VENDIDOS,ECD3010103,CUSTO DOS PRODUTOS DE FABRICAÇÃO PRÓPRIA VENDIDOS,FALSE,view,account.data_account_type_view,base.BRL
ECD3010103010000,3.01.01.03.01.00.00,Custo dos Produtos de Fabricação Própria Vendidos,ECD301010301,Custo dos Produtos de Fabricação Própria Vendidos,FALSE,other,account.data_account_type_expense,base.BRL
ECD301010303,3.01.01.03.03,CUSTO DAS MERCADORIAS REVENDIDAS,ECD3010103,CUSTO DAS MERCADORIAS REVENDIDAS,FALSE,view,account.data_account_type_view,base.BRL
ECD3010103030000,3.01.01.03.03.00.00,Custo das Mercadorias Revendidas,ECD301010303,Custo das Mercadorias Revendidas,FALSE,other,account.data_account_type_expense,base.BRL
ECD3010103050000,3.01.01.03.05.00.00,Custo dos Serviços Vendidos,ECD301010303,Custo dos Serviços Vendidos,FALSE,other,account.data_account_type_expense,base.BRL
ECD301010307,3.01.01.03.07,CUSTO DAS UNIDADES IMOBILIÁRIAS VENDIDAS,ECD3010103,CUSTO DAS UNIDADES IMOBILIÁRIAS VENDIDAS,FALSE,view,account.data_account_type_view,base.BRL
ECD3010103070100,3.01.01.03.07.01.00,Custo das Unidades Imobiliárias Vendidas,ECD301010307,Custo das Unidades Imobiliárias Vendidas,FALSE,other,account.data_account_type_expense,base.BRL
ECD301010309,3.01.01.03.09,AJUSTES DE ESTOQUES DECORRENTES DE ARBITRAMENTO,ECD3010103,AJUSTES DE ESTOQUES DECORRENTES DE ARBITRAMENTO,FALSE,view,account.data_account_type_view,base.BRL
ECD3010105,3.01.01.05,OUTRAS RECEITAS OPERACIONAIS,ECD30101,OUTRAS RECEITAS OPERACIONAIS,FALSE,view,account.data_account_type_view,base.BRL
ECD301010501,3.01.01.05.01,OUTRAS RECEITAS OPERACIONAIS,ECD3010105,OUTRAS RECEITAS OPERACIONAIS,FALSE,view,account.data_account_type_view,base.BRL
ECD3010105010100,3.01.01.05.01.01.00,Variações Cambiais Ativas,ECD301010501,Variações Cambiais Ativas,FALSE,other,account.data_account_type_income,base.BRL
ECD3010105010200,3.01.01.05.01.02.00,"Ganhos Auferidos no Mercado de Renda Variável, exceto Day-Trade",ECD301010501,"Ganhos Auferidos no Mercado de Renda Variável, exceto Day-Trade",FALSE,other,account.data_account_type_income,base.BRL
ECD3010105010300,3.01.01.05.01.03.00,Ganhos em Operações Day-Trade,ECD301010501,Ganhos em Operações Day-Trade,FALSE,other,account.data_account_type_income,base.BRL
ECD3010105010400,3.01.01.05.01.04.00,Receitas de Juros sobre o Capital Próprio,ECD301010501,Receitas de Juros sobre o Capital Próprio,FALSE,other,account.data_account_type_income,base.BRL
ECD3010105010500,3.01.01.05.01.05.00,Outras Receitas Financeiras,ECD301010501,Outras Receitas Financeiras,FALSE,other,account.data_account_type_income,base.BRL
ECD3010105010600,3.01.01.05.01.06.00,Ganhos na Alienação de Participações Não Integrantes do Ativo Permanente,ECD301010501,Ganhos na Alienação de Participações Não Integrantes do Ativo Permanente,FALSE,other,account.data_account_type_income,base.BRL
ECD3010105010700,3.01.01.05.01.07.00,Resultados Positivos em Participações Societárias,ECD301010501,Resultados Positivos em Participações Societárias,FALSE,other,account.data_account_type_income,base.BRL
ECD3010105010710,3.01.01.05.01.07.10,Amortização de Deságio nas Aquisições de Investimentos Avaliados pelo Patrimônio Líquido,ECD301010501,Amortização de Deságio nas Aquisições de Investimentos Avaliados pelo Patrimônio Líquido,FALSE,other,account.data_account_type_income,base.BRL
ECD3010105010800,3.01.01.05.01.08.00,Resultados Positivos em SCP,ECD301010501,Resultados Positivos em SCP,FALSE,other,account.data_account_type_income,base.BRL
ECD3010105010900,3.01.01.05.01.09.00,Rendimentos e Ganhos de Capital Auferidos no Exterior,ECD301010501,Rendimentos e Ganhos de Capital Auferidos no Exterior,FALSE,other,account.data_account_type_income,base.BRL
